,mnth,weathersit,windspeed,temp,hum,log_cnt
0,1,2,0.160446,0.344167,0.805833,6.892641641172089
1,1,2,0.248539,0.363478,0.696087,6.68586094706836
2,1,1,0.248309,0.196364,0.437273,7.207118856207756
3,1,1,0.160296,0.2,0.590435,7.3537223303996315
4,1,1,0.1869,0.226957,0.436957,7.3777589082278725
5,1,1,0.0895652,0.204348,0.518261,7.381501894506707
6,1,2,0.168726,0.196522,0.498696,7.31986492980897
7,1,2,0.266804,0.165,0.535833,6.8658910748834385
8,1,1,0.36195,0.138333,0.434167,6.71174039505618
9,1,1,0.223267,0.150833,0.482917,7.186144304522325
10,1,2,0.122132,0.169091,0.686364,7.141245122350491
11,1,1,0.304627,0.172727,0.599545,7.057897937411856
12,1,1,0.301,0.165,0.470417,7.2485040723706105
13,1,1,0.126548,0.16087,0.537826,7.259116128097101
14,1,2,0.157963,0.233333,0.49875,7.129297548929373
15,1,1,0.188433,0.231667,0.48375,7.093404625868766
16,1,2,0.194017,0.175833,0.5375,6.907755278982137
17,1,2,0.146775,0.216667,0.861667,6.52649485957079
18,1,2,0.208317,0.292174,0.741739,7.408530566894626
19,1,2,0.195904,0.261667,0.538333,7.563719668414366
20,1,1,0.353242,0.1775,0.457083,7.341483852363161
21,1,1,0.17197,0.0591304,0.4,6.8885724595653635
22,1,1,0.2466,0.0965217,0.436522,6.893656354602635
23,1,1,0.15833,0.0973913,0.491739,7.255591274253665
24,1,2,0.129796,0.223478,0.616957,7.59337419312129
25,1,3,0.29385,0.2175,0.8625,6.226536669287466
26,1,1,0.113837,0.195,0.6875,6.066108090103747
27,1,2,0.1233,0.203478,0.793043,7.062191632286556
28,1,1,0.145365,0.196522,0.651739,7.001245622069476
29,1,1,0.0739826,0.216522,0.722174,6.999422467507961
30,1,2,0.187192,0.180833,0.60375,7.313886831633462
31,2,2,0.053213,0.192174,0.829565,7.215239978730097
32,2,2,0.264308,0.26,0.775417,7.330405211844402
33,2,1,0.277752,0.186957,0.437826,7.346010209913293
34,2,2,0.127839,0.211304,0.585217,7.443078374348516
35,2,2,0.161079,0.233333,0.929167,6.912742820493176
36,2,1,0.1418,0.285833,0.568333,7.392031567514591
37,2,1,0.0454083,0.271667,0.738333,7.445417556701687
38,2,1,0.36195,0.220833,0.537917,7.333023014386481
39,2,2,0.188839,0.134783,0.494783,7.380879035564116
40,2,1,0.221935,0.144348,0.437391,7.338238150065589
41,2,1,0.10855,0.189091,0.506364,7.465082736399547
42,2,1,0.203367,0.2225,0.544167,7.294377299288821
43,2,1,0.260883,0.316522,0.457391,7.370860166536716
44,2,1,0.417908,0.415,0.375833,7.556427969440253
45,2,1,0.291374,0.266087,0.314348,7.503840746698951
46,2,1,0.251791,0.318261,0.423478,7.656810091480378
47,2,1,0.230104,0.435833,0.505,7.813995675002791
48,2,1,0.264925,0.521667,0.516667,7.9817332866918855
49,2,1,0.507463,0.399167,0.187917,7.399398083331354
50,2,1,0.223235,0.285217,0.407826,7.502186486602924
51,2,2,0.307846,0.303333,0.605,7.009408932708637
52,2,1,0.195683,0.182222,0.577778,7.27931883541462
53,2,1,0.094113,0.221739,0.423043,7.558516743045645
